CT,TPAD,TPAN,TPAN2,TWAD,TWAN,TWAN2,TMAD,TMAN,TMAN2
100500,1226,392,305,703,232,181,523,160,124
101100,1073,190,172,580,99,91,493,91,81
101400,1853,425,344,1026,229,179,827,196,165
101600,694,131,106,393,91,71,301,40,35
101700,923,198,148,550,129,94,373,69,54
101800,1471,393,334,826,213,186,645,180,148
10300,669,110,87,298,53,48,371,57,39
110200,1926,347,272,1052,200,153,874,147,119
110600,1477,244,184,813,134,103,664,110,81
111300,1204,239,198,690,148,104,514,91,94
111400,678,172,147,384,103,79,294,69,68
111500,1511,372,332,884,249,201,627,123,131
120300,926,225,186,563,151,111,363,74,75
120400,441,98,87,264,67,44,177,31,43
120700,409,125,111,258,92,61,151,33,50
120800,517,121,107,308,84,64,209,37,43
130100,1089,199,161,670,131,96,419,68,65
130200,668,158,122,413,108,87,255,50,35
130300,752,197,183,473,133,105,279,64,78
130400,661,131,114,394,74,62,267,57,52
130600,1956,429,328,1162,278,201,794,151,127
140100,1303,208,165,662,91,73,641,117,92
140200,860,133,92,420,56,39,440,77,53
140300,1819,277,214,948,139,107,871,138,107
140400,1384,203,168,719,90,80,665,113,88
140500,907,202,158,517,116,91,390,86,67
140600,1809,290,228,966,143,106,843,147,122
140800,2525,376,293,1305,186,150,1220,190,143
141000,544,92,63,304,49,35,240,43,28
141100,826,191,161,443,107,84,383,84,77
141300,2045,350,277,1078,173,143,967,177,134
141400,2930,505,416,1508,243,199,1422,262,217
151600,1304,322,240,705,189,147,599,133,93
151700,2541,539,435,1337,293,247,1204,246,188
160800,1159,258,195,600,140,106,559,118,89
160900,993,267,211,532,158,114,461,109,97
170200,1305,294,247,641,145,134,664,149,113
170600,670,154,127,338,76,63,332,78,64
180300,1245,240,191,729,141,111,516,99,80
180700,964,251,197,533,142,108,431,109,89
190300,861,208,166,489,106,85,372,102,81
191100,1113,284,223,587,135,101,526,149,122
191400,1115,292,250,619,167,135,496,125,115
191500,923,217,167,487,115,94,436,102,73
191600,2051,506,385,1084,280,204,967,226,181
191700,1817,437,357,981,240,192,836,197,165
191800,2943,741,570,1655,433,333,1288,308,237
191900,1176,238,181,643,130,103,533,108,78
192000,1787,425,348,955,239,199,832,186,149
20100,3725,381,305,1753,158,126,1972,223,179
202200,1496,313,240,847,173,127,649,140,113
202300,1924,516,415,1057,259,205,867,257,210
20300,400,64,53,194,26,27,206,38,26
210700,1203,292,260,688,184,152,515,108,108
220600,824,178,170,416,96,69,408,82,101
240600,1312,236,187,675,114,96,637,122,91
241200,526,133,112,274,67,56,252,66,56
250300,636,143,125,346,79,67,290,64,58
250700,451,80,72,267,44,39,184,36,33
250900,697,141,121,408,85,70,289,56,51
260200,1231,272,203,663,143,111,568,129,92
260700,1025,197,168,553,98,80,472,99,88
260900,1205,106,96,717,76,55,488,30,41
261200,606,179,155,314,83,74,292,96,81
261400,1314,337,306,752,213,169,562,124,137
